location_key,month,clim_rain_mm,clim_rain_days,clim_tmean_c,clim_gdd10
-00.4250_+035.9750,4,147.0146692911784,8.733333333333333,16.053997727146868,193.0997996521003
-00.4250_+035.9750,5,129.00493009090422,6.366666666666666,15.276926055689447,177.0866028340664
-00.4250_+035.9750,6,95.2926019191742,5.8,14.430378685704005,147.48184748331758
-00.4250_+035.9750,7,97.72479921976723,5.766666666666667,13.646162834304231,133.52400105794314
-00.4250_+035.9750,8,107.78710850377878,5.3,13.768890001440589,137.78944798787475
-00.4250_+035.9750,9,71.09732880194981,4.533333333333333,14.55490108631278,151.19962946573938
-00.4250_+035.9750,10,79.23964963754018,4.366666666666666,15.183818974375315,170.59984502156632
-00.4250_+035.9750,11,102.15802603165308,5.466666666666667,14.910773820523866,159.5295112609869
-00.4250_+035.9750,12,64.31858319391807,3.966666666666667,15.263636504962903,172.67476150512755
-00.4250_+036.3750,1,39.24376304149628,3.466666666666667,16.515424321629272,209.6845280965175
-00.4250_+036.3750,2,36.26922146876653,4.1,17.249216552477574,210.1878600565597
-00.4250_+036.3750,3,78.60597758293152,5.333333333333333,17.446084278202406,234.4549427795416
-00.4250_+036.3750,4,150.29282063643137,7.466666666666667,16.6323165928876,210.4223092142748
-00.4250_+036.3750,5,119.22493832906088,5.0,15.934216234760912,198.1181174723314
-00.4250_+036.3750,6,88.56556565066178,4.933333333333334,15.08280245957554,164.63883265177463
-00.4250_+036.3750,7,71.29784066875776,4.033333333333333,14.289034890615827,147.16776468912815
-00.4250_+036.3750,8,87.9876633087794,4.6,14.4274399111348,152.43512329101614
-00.4250_+036.3750,9,70.40443591276805,4.4,15.099575475056998,165.2268111165369
-00.4250_+036.3750,10,98.58281490008036,4.966666666666667,15.703197177080282,186.5234181722012
-00.4250_+036.3750,11,89.75353983243306,5.433333333333334,15.588729640113003,178.28621439615944
-00.4250_+036.3750,12,64.48817680229743,4.733333333333333,15.8736718222232,190.6418529764817
-00.4250_+036.9750,1,62.27742332617442,3.966666666666667,16.30392468565257,197.86712443033912
-00.4250_+036.9750,2,33.36147457361221,3.2666666666666666,17.02718931870444,199.7934798177088
-00.4250_+036.9750,3,66.42705396016439,4.9,17.204960496280385,227.5713878885912
-00.4250_+036.9750,4,183.36063323020932,8.333333333333334,16.576692044999874,211.25495503743565
-00.4250_+036.9750,5,126.11261882781984,5.0,15.990942527743671,201.22294677734448
