location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.2750_+035.0250,0.275,35.025,13,1,2017,2019
+00.2750_+035.1250,0.275,35.125,3,1,2020,2020
+00.2750_+035.1750,0.275,35.175,11,1,2019,2020
+00.2750_+035.2250,0.275,35.225,7,1,2018,2018
+00.2750_+035.2750,0.275,35.275,5,2,2020,2020
+00.2750_+035.4250,0.275,35.425,4,2,2019,2020
+00.2750_+035.4750,0.275,35.475,1,1,2020,2020
+00.3250_+034.0750,0.325,34.075,8,1,2016,2020
+00.3250_+034.1250,0.325,34.125,53,1,2016,2020
+00.3250_+034.1750,0.325,34.175,39,1,2016,2020
+00.3250_+034.2250,0.325,34.225,69,2,2016,2020
+00.3250_+034.2750,0.325,34.275,67,1,2016,2020
+00.3250_+034.3250,0.325,34.325,73,3,2016,2020
+00.3250_+034.3750,0.325,34.375,25,2,2016,2020
+00.3250_+034.4250,0.325,34.425,12,3,2016,2019
+00.3250_+034.4750,0.325,34.475,92,7,2016,2020
+00.3250_+034.5250,0.325,34.525,45,2,2016,2020
+00.3250_+034.5750,0.325,34.575,62,4,2016,2020
+00.3250_+034.6250,0.325,34.625,35,4,2016,2020
+00.3250_+034.6750,0.325,34.675,37,3,2016,2020
+00.3250_+034.7250,0.325,34.725,34,3,2016,2020
+00.3250_+034.7750,0.325,34.775,22,3,2016,2020
+00.3250_+034.8250,0.325,34.825,18,3,2016,2019
+00.3250_+034.9250,0.325,34.925,9,1,2016,2016
+00.3250_+034.9750,0.325,34.975,4,1,2019,2019
+00.3250_+035.0250,0.325,35.025,19,2,2017,2019
+00.3250_+035.0750,0.325,35.075,1,1,2020,2020
+00.3250_+035.1250,0.325,35.125,22,1,2018,2020
+00.3250_+035.1750,0.325,35.175,13,1,2018,2020
+00.3250_+035.2250,0.325,35.225,12,1,2018,2020
+00.3250_+035.3250,0.325,35.325,2,1,2020,2020
+00.3250_+035.3750,0.325,35.375,15,2,2019,2020
+00.3250_+035.4250,0.325,35.425,14,2,2019,2020
+00.3250_+035.4750,0.325,35.475,5,1,2019,2019
+00.3250_+035.5750,0.325,35.575,2,1,2020,2020
+00.3750_+034.1250,0.375,34.125,24,2,2016,2020
+00.3750_+034.1750,0.375,34.175,51,2,2016,2020
+00.3750_+034.2250,0.375,34.225,61,2,2016,2020
+00.3750_+034.2750,0.375,34.275,65,2,2016,2020
+00.3750_+034.3250,0.375,34.325,55,2,2016,2020
+00.3750_+034.3750,0.375,34.375,62,2,2016,2020
+00.3750_+034.4250,0.375,34.425,46,4,2016,2020
+00.3750_+034.4750,0.375,34.475,27,4,2016,2020
+00.3750_+034.5250,0.375,34.525,4,1,2019,2020
+00.3750_+034.5750,0.375,34.575,37,2,2016,2020
+00.3750_+034.6250,0.375,34.625,29,2,2016,2020
+00.3750_+034.6750,0.375,34.675,38,3,2016,2020
+00.3750_+034.7250,0.375,34.725,74,3,2016,2020
+00.3750_+034.7750,0.375,34.775,6,3,2016,2018
+00.3750_+034.8250,0.375,34.825,40,2,2016,2020
+00.3750_+034.8750,0.375,34.875,32,3,2016,2019
+00.3750_+034.9250,0.375,34.925,43,3,2016,2020
+00.3750_+034.9750,0.375,34.975,7,1,2017,2020
+00.3750_+035.0250,0.375,35.025,17,3,2017,2020
+00.3750_+035.0750,0.375,35.075,17,2,2018,2020
+00.3750_+035.1250,0.375,35.125,41,1,2018,2020
+00.3750_+035.1750,0.375,35.175,51,2,2018,2020
+00.3750_+035.2250,0.375,35.225,1,1,2018,2018
+00.3750_+035.2750,0.375,35.275,2,1,2018,2018
+00.3750_+035.3250,0.375,35.325,4,1,2019,2019
+00.3750_+035.3750,0.375,35.375,18,2,2019,2020
+00.3750_+035.4250,0.375,35.425,8,1,2020,2020
+00.3750_+035.5750,0.375,35.575,4,1,2020,2020
+00.4250_+034.0750,0.425,34.075,3,1,2016,2016
+00.4250_+034.1250,0.425,34.125,25,2,2016,2020
+00.4250_+034.1750,0.425,34.175,73,2,2016,2020
+00.4250_+034.2250,0.425,34.225,58,3,2016,2020
+00.4250_+034.2750,0.425,34.275,88,3,2016,2020
+00.4250_+034.3250,0.425,34.325,61,4,2016,2019
+00.4250_+034.3750,0.425,34.375,22,4,2016,2020
+00.4250_+034.4250,0.425,34.425,21,4,2016,2020
+00.4250_+034.4750,0.425,34.475,49,2,2018,2020
+00.4250_+034.5250,0.425,34.525,13,1,2018,2020
+00.4250_+034.5750,0.425,34.575,7,1,2018,2020
+00.4250_+034.6250,0.425,34.625,1,1,2016,2016
+00.4250_+034.6750,0.425,34.675,23,4,2016,2020
+00.4250_+034.7250,0.425,34.725,37,3,2016,2020
+00.4250_+034.7750,0.425,34.775,27,2,2016,2020
+00.4250_+034.8250,0.425,34.825,7,2,2016,2020
+00.4250_+034.8750,0.425,34.875,67,3,2016,2020
+00.4250_+034.9250,0.425,34.925,62,3,2016,2020
+00.4250_+034.9750,0.425,34.975,9,1,2018,2018
+00.4250_+035.0250,0.425,35.025,3,2,2017,2020
+00.4250_+035.0750,0.425,35.075,16,1,2017,2020
+00.4250_+035.1250,0.425,35.125,26,1,2017,2020
+00.4250_+035.1750,0.425,35.175,10,1,2017,2020
+00.4250_+035.2750,0.425,35.275,18,1,2018,2018
+00.4250_+035.3250,0.425,35.325,8,1,2018,2020
+00.4250_+035.4250,0.425,35.425,2,1,2020,2020
+00.4250_+035.4750,0.425,35.475,1,1,2020,2020
+00.4250_+035.5750,0.425,35.575,4,1,2020,2020
+00.4750_+034.1250,0.475,34.125,88,3,2016,2020
+00.4750_+034.1750,0.475,34.175,61,3,2016,2020
+00.4750_+034.2250,0.475,34.225,45,3,2016,2020
+00.4750_+034.2750,0.475,34.275,28,3,2016,2020
+00.4750_+034.3250,0.475,34.325,15,3,2016,2020
+00.4750_+034.3750,0.475,34.375,21,1,2016,2019
+00.4750_+034.4250,0.475,34.425,21,1,2018,2020
+00.4750_+034.4750,0.475,34.475,11,2,2016,2020
+00.4750_+034.5250,0.475,34.525,27,3,2016,2020
+00.4750_+034.5750,0.475,34.575,21,1,2018,2020
+00.4750_+034.6250,0.475,34.625,36,2,2018,2020
+00.4750_+034.6750,0.475,34.675,32,3,2016,2020
+00.4750_+034.7250,0.475,34.725,57,1,2016,2020
+00.4750_+034.7750,0.475,34.775,36,1,2016,2020
+00.4750_+034.8250,0.475,34.825,14,1,2018,2019
+00.4750_+034.8750,0.475,34.875,35,1,2016,2020
+00.4750_+034.9250,0.475,34.925,18,1,2016,2020
+00.4750_+034.9750,0.475,34.975,12,2,2018,2020
+00.4750_+035.0250,0.475,35.025,10,2,2018,2020
+00.4750_+035.1250,0.475,35.125,12,1,2017,2020
+00.4750_+035.1750,0.475,35.175,3,1,2017,2017
+00.4750_+035.2250,0.475,35.225,4,1,2019,2019
+00.4750_+035.2750,0.475,35.275,13,3,2017,2020
+00.4750_+035.3250,0.475,35.325,2,2,2018,2018
+00.4750_+035.5250,0.475,35.525,4,1,2020,2020
+00.5250_+034.1250,0.525,34.125,7,1,2016,2017
+00.5250_+034.1750,0.525,34.175,3,1,2016,2016
+00.5250_+034.2250,0.525,34.225,22,2,2016,2020
+00.5250_+034.2750,0.525,34.275,13,1,2016,2020
+00.5250_+034.3250,0.525,34.325,10,1,2018,2020
+00.5250_+034.3750,0.525,34.375,31,1,2016,2019
+00.5250_+034.4250,0.525,34.425,25,1,2016,2020
+00.5250_+034.4750,0.525,34.475,19,1,2019,2020
+00.5250_+034.5250,0.525,34.525,16,1,2018,2020
+00.5250_+034.5750,0.525,34.575,42,2,2019,2020
+00.5250_+034.6250,0.525,34.625,38,2,2016,2020
+00.5250_+034.6750,0.525,34.675,20,2,2016,2020
+00.5250_+034.7250,0.525,34.725,46,2,2016,2020
+00.5250_+034.7750,0.525,34.775,64,2,2016,2020
+00.5250_+034.8250,0.525,34.825,33,1,2016,2020
+00.5250_+034.8750,0.525,34.875,16,1,2016,2020
+00.5250_+034.9250,0.525,34.925,17,2,2016,2020
+00.5250_+034.9750,0.525,34.975,11,2,2017,2019
+00.5250_+035.0250,0.525,35.025,11,1,2019,2020
+00.5250_+035.0750,0.525,35.075,2,1,2020,2020
+00.5250_+035.1250,0.525,35.125,20,2,2017,2020
+00.5250_+035.1750,0.525,35.175,10,1,2017,2017
+00.5250_+035.2250,0.525,35.225,2,1,2019,2019
+00.5250_+035.2750,0.525,35.275,30,4,2018,2020
+00.5250_+035.3750,0.525,35.375,6,1,2019,2020
+00.5250_+035.4250,0.525,35.425,3,1,2019,2019
+00.5250_+035.4750,0.525,35.475,3,1,2019,2019
+00.5750_+034.1750,0.575,34.175,11,2,2018,2020
+00.5750_+034.2250,0.575,34.225,21,2,2016,2020
+00.5750_+034.2750,0.575,34.275,13,1,2016,2020
+00.5750_+034.3250,0.575,34.325,10,1,2018,2020
+00.5750_+034.3750,0.575,34.375,108,1,2016,2020
+00.5750_+034.4250,0.575,34.425,75,4,2016,2020
+00.5750_+034.4750,0.575,34.475,63,2,2016,2020
+00.5750_+034.5250,0.575,34.525,58,3,2016,2020
+00.5750_+034.5750,0.575,34.575,263,16,2016,2020
+00.5750_+034.6250,0.575,34.625,51,3,2016,2020
+00.5750_+034.6750,0.575,34.675,7,2,2017,2020
+00.5750_+034.7250,0.575,34.725,20,1,2016,2020
+00.5750_+034.7750,0.575,34.775,34,2,2016,2020
+00.5750_+034.8250,0.575,34.825,63,1,2016,2020
+00.5750_+034.8750,0.575,34.875,43,2,2016,2020
+00.5750_+034.9250,0.575,34.925,33,2,2016,2020
+00.5750_+034.9750,0.575,34.975,15,2,2016,2020
+00.5750_+035.0250,0.575,35.025,7,2,2016,2020
+00.5750_+035.0750,0.575,35.075,10,1,2018,2018
+00.5750_+035.1750,0.575,35.175,3,1,2019,2019
+00.5750_+035.2250,0.575,35.225,16,1,2019,2020
+00.5750_+035.2750,0.575,35.275,5,2,2019,2020
+00.5750_+035.3250,0.575,35.325,3,1,2016,2016
+00.5750_+035.3750,0.575,35.375,16,1,2019,2020
+00.5750_+035.4250,0.575,35.425,3,1,2020,2020
+00.6250_+034.1750,0.625,34.175,3,1,2020,2020
+00.6250_+034.2250,0.625,34.225,8,1,2016,2019
+00.6250_+034.2750,0.625,34.275,86,3,2016,2020
+00.6250_+034.3250,0.625,34.325,35,1,2016,2020
+00.6250_+034.3750,0.625,34.375,34,1,2016,2020
+00.6250_+034.4250,0.625,34.425,57,2,2016,2020
+00.6250_+034.4750,0.625,34.475,75,1,2016,2020
+00.6250_+034.5250,0.625,34.525,90,4,2016,2020
+00.6250_+034.5750,0.625,34.575,49,2,2016,2020
+00.6250_+034.6250,0.625,34.625,116,3,2016,2020
+00.6250_+034.6750,0.625,34.675,14,2,2016,2020
+00.6250_+034.7250,0.625,34.725,47,1,2017,2020
+00.6250_+034.7750,0.625,34.775,51,3,2016,2020
+00.6250_+034.8250,0.625,34.825,50,3,2016,2020
+00.6250_+034.8750,0.625,34.875,35,1,2016,2020
+00.6250_+034.9250,0.625,34.925,53,2,2016,2020
