yield_kg_ph,year,is_holdout,cv_group,cv_fold,site,district,plant_date,harvest_date,cows,electricity,hh_num,hh_num_under18,owns_cows,owns_electricity,owns_oxen,plot_acres,plot_hectares,wealth_index,can_kg_ph_flagged_outlier,comp_quality_is_missing,comp_wb_pa_flagged_outlier,dap_kg_ph_flagged_outlier,fertility_is_missing,field_gps_flagged_invalid,growing_season_days_flagged,n_kg_ph_is_missing,pest_disease_is_missing,plant_date_doy_is_missing,plot_acres_flagged_outlier,slope_angle_num_is_missing,slope_is_missing,urea_kg_ph_flagged_outlier,uses_hybrid_seed_is_missing,basal_n_share,can_kg_ph,can_kg_ph_winsorized,comp_wb_pa,comp_wb_pa_winsorized,compost_applied,compost_wb_ph,dap_kg_ph,dap_kg_ph_winsorized,hybrid_seed_share,hybridseed_kg_ph,intercrop,intercrop_is_legume,intercrop_type,k2o_kg_ph,lime_kg_ph,lime_kg_ph_winsorized,localseed_kg_ph,n_kg_ph,npk_kg_ph,npk_kg_ph_winsorized,p2o5_kg_ph,plant_date_doy,seed_category,seed_type,seed_type_clean,seed_type_is_mixed,seed_type_primary,topdress_applied,total_nutrient_kg_ph,urea_kg_ph,urea_kg_ph_winsorized,uses_hybrid_seed,drought,chickens,fertility,fertility_ordinal,goats,growing_season_days,hh_num_under5,owns_chickens,owns_goats,weed,FAW,flood,pest_disease
2861.2158,2017,False,Bware,3,Bware,migori,,2017-07-13,2.0,,6.0,4.0,True,,False,0.0625,0.0252928752452135,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,118.6104,118.6104,0.0,0.0,False,0.0,118.6104,118.6104,0.0,0.0,True,True,beans,0.0,0.0,0.0,39.5368,52.188576,0.0,0.0,54.560784,,local,local,local,False,local,True,106.74936,0.0,0.0,False,False,5.0,same,0.0,0.0,,,True,False,2.0,True,False,True
1580.1715,2017,False,Doho,2,Doho,gem,,,1.0,,8.0,6.0,True,,False,0.75,0.303514510393143,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,32.947334,32.947334,0.0,0.0,False,0.0,32.947334,32.947334,0.42857141618307387,19.7684,True,True,beans,0.0,0.0,0.0,26.357868,14.49682696,0.0,0.0,15.15577364,,local,local,local,False,local,True,29.6526006,0.0,0.0,True,False,20.0,same,0.0,0.0,,,True,False,1.0,True,False,True
715.30396,2017,False,Kobuola Kogwang,4,Kobuola Kogwang,rongo,,2017-07-03,0.0,,5.0,3.0,False,,False,0.125,0.050585750490427,-2.5257753301587758,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,beans,0.0,0.0,0.0,39.5368,0.0,0.0,0.0,0.0,,local,local,local,False,local,False,0.0,0.0,0.0,False,True,0.0,same,0.0,0.0,,,False,False,2.0,True,False,True
1794.7627,2017,False,Munongo,0,Munongo,nambale,,2017-07-21,1.0,,17.0,11.0,True,,False,0.5,0.202343001961708,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,False,0.0,9.8842001,9.8842001,1.0,39.5368,True,True,beans,0.0,0.0,0.0,0.0,1.779156018,0.0,0.0,4.546732046,,local,local,local,False,local,False,6.325888064,0.0,0.0,True,False,2.0,worse,-1.0,4.0,,,True,True,2.0,,False,True
1950.829,2017,False,Geteri,0,Geteri,masaba,,2017-07-17,2.0,,9.0,5.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.9664429516530123,71.166237,False,,,0.0,0.0,0.0,2.47105,0.0,0.0,0.0,0.0,,hybrid_branded,h_6213,h_6213,False,h_6213,False,0.0,0.0,0.0,True,,10.0,,,0.0,,,True,False,0.0,,,False
4681.9893,2017,False,Kakamwe,1,Kakamwe,lugari,,,1.0,,2.0,1.0,True,,False,0.25,0.101171500980854,-1.3355338948614355,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.4090909090909091,494.20999,494.20999,0.0,0.0,False,0.0,494.20999,494.20999,,0.0,True,True,beans,0.0,0.0,0.0,0.0,217.4523956,0.0,0.0,227.33659540000002,,hybrid_branded,h_614d,h_614d,False,h_614d,True,444.788991,0.0,0.0,False,False,0.0,better,1.0,0.0,,,False,False,2.0,True,False,True
1807.7681,2017,False,Munyuki,3,Munyuki,lugari,2017-04-04,2017-09-22,1.0,,8.0,5.0,True,,False,1.0,0.404686003923416,-1.3355338948614355,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,24.710501,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,94.0,hybrid_branded,h_6213,h_6213,False,h_6213,True,111.19725,0.0,0.0,True,True,0.0,better,1.0,0.0,171.0,,False,False,1.0,True,False,True
6580.7959,2017,False,Chango,3,Chango,vihiga,2017-02-22,2017-06-30,2.0,,7.0,2.0,True,,False,0.5,0.202343001961708,1.5051934708448016,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,53.0,hybrid_branded,dk_8031,dk_8031,False,dk_8031,True,111.19725,0.0,0.0,True,False,3.0,same,0.0,1.0,128.0,,True,True,2.0,True,False,True
3852.2371,2017,False,Tembatemba,2,Tembatemba,kimilili,,,2.0,,7.0,4.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,0.0,True,True,beans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,hybrid_branded,pan_691,pan_691,False,pan_691,False,0.0,0.0,0.0,False,False,5.0,same,0.0,0.0,,,True,False,2.0,,False,True
1313.5582,2017,False,Biribiriet,0,Biribiriet,cherangany,2017-04-15,2017-11-10,2.0,,7.0,4.0,True,,False,0.9,0.364217400550842,0.23828605228518726,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,137.28056,137.28056,5.5555553,5.5555553,True,13.728054924064999,137.28056,137.28056,1.0,27.45611,True,True,beans,0.0,0.0,0.0,0.0,60.40344640000001,0.0,0.0,63.149057600000006,105.0,hybrid_branded,p3812w,pioneer_p3812w,False,pioneer_p3812w,True,123.55250400000001,0.0,0.0,True,True,12.0,same,0.0,0.0,209.0,,True,False,2.0,True,False,True
